N,Time,1.INT,1.PFMIN,1.PFMAJ,2.INT,2.PFMIN,2.PFMAJ,3.INT,3.PFMIN,3.PFMAJ,4.INT,4.PFMIN,4.PFMAJ,5.INT,5.PFMIN,5.PFMAJ,6.INT,6.PFMIN,6.PFMAJ,7.INT,7.PFMIN,7.PFMAJ,8.INT,8.PFMIN,8.PFMAJ,9.INT,9.PFMIN,9.PFMAJ,10.INT,10.PFMIN,10.PFMAJ
8,0,1,8,0,1,6,0,1,6,0,1,6,0,2,6,0,2,6,0,2,6,0,2,6,0,3,6,0,2,7,0
16,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,2,6,0,2,6,0,2,6,0,1,6,0
32,0,1,6,0,1,7,0,1,6,0,2,6,0,2,6,0,2,6,0,1,6,0,2,6,0,2,6,0,2,6,0
64,0,1,6,0,1,6,0,1,6,0,1,7,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
128,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,7,0,1,6,0,1,6,0,1,6,0
256,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,7,0,2,6,0
512,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
1024,0,2,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,2,6,0,2,6,0,2,6,0
1184,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,2,6,0
1344,0,1,6,0,3,6,0,2,6,0,2,7,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
1504,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,7,0,2,6,0,2,6,0,2,6,0,2,6,0
1664,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,7,0,1,6,0,1,6,0
1824,0,2,6,0,2,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,7,0
1984,0,1,6,0,1,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0
2144,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
2304,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,1,6,0
2464,0,2,6,0,2,6,0,2,6,0,2,6,0,4,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
2624,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0
2784,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,7,0,1,6,0
2944,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,1,6,0,1,6,0,1,6,0
3104,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
3264,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
3424,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
3584,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,7,0,1,6,0,1,6,0,1,6,0,1,6,0
3744,0,1,6,0,1,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0
3904,0,1,6,0,1,6,0,1,6,0,1,6,0,3,3,0,1,6,0,1,6,0,1,6,0,2,6,0,2,6,0
4064,0,1,6,0,1,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,1,6,0
4224,0,1,6,0,1,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,1,6,0,1,6,0
4384,0,2,6,0,2,6,0,1,6,0,2,6,0,2,6,0,2,6,0,1,6,0,1,6,0,1,6,0,1,6,0
4544,0,2,6,0,2,6,0,2,6,0,1,6,0,1,7,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
4704,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0
4864,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,7,0
5024,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
5184,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0
5344,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
5504,0,2,6,0,2,6,0,2,6,0,3,6,0,2,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
5664,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,2,6,0,2,6,0,2,6,0
5824,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
5984,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0
6144,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
6304,0,2,6,0,2,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
6464,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
6624,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
6784,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0
6944,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
7104,0,2,6,0,2,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0
7264,0,1,6,0,1,6,0,1,6,0,1,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0,2,6,0
7424,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,7,0,1,6,0,1,6,0
7584,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,1,6,0,2,6,0,2,6,0,2,6,0,2,6,0
