N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,1081,0,6,0,2,0,2
16,1059,0,2,0,2,0,2
32,1041,0,2,0,2,0,2
64,1045,0,2,0,2,0,2
128,1023,0,2,0,2,0,2
256,996,0,2,0,2,0,2
512,1003,0,2,0,2,0,2
1024,1104,0,2,0,2,0,2
1184,1079,0,2,0,2,0,2
1344,1086,0,2,0,2,0,2
1504,1084,0,2,0,2,0,2
1664,1093,0,2,0,2,0,2
1824,1086,0,2,0,2,0,2
1984,1080,0,2,0,2,0,2
2144,1095,0,2,0,2,0,2
2304,1092,0,2,0,2,0,2
2464,1107,0,2,0,2,0,2
2624,1088,0,2,0,2,0,2
2784,1085,0,2,0,2,0,2
2944,1089,0,2,0,2,0,2
3104,1077,0,2,0,2,0,2
3264,1083,0,2,0,2,0,2
3424,1099,0,2,0,2,0,2
3584,1095,0,2,0,2,0,2
3744,1074,0,2,0,2,0,2
3904,1084,0,2,0,2,0,2
4064,1067,0,2,0,2,0,2
4224,1111,0,2,0,2,0,2
4384,1076,0,2,0,2,0,2
4544,1094,0,2,0,2,0,2
4704,1150,0,2,0,2,0,2
4864,1144,0,2,0,2,0,2
5024,1134,0,2,0,2,0,2
5184,1141,0,2,0,2,0,2
5344,1148,0,2,0,2,0,2
5504,1073,0,2,0,2,0,2
5664,1076,0,2,0,2,0,2
5824,1135,0,2,0,2,0,2
5984,1098,0,2,0,2,0,2
6144,1143,0,2,0,2,0,2
6304,1133,0,2,0,2,0,2
6464,1122,0,2,0,2,0,2
6624,1110,0,2,0,2,0,2
6784,1146,0,2,0,2,0,2
6944,1147,0,2,0,2,0,2
7104,1131,0,2,0,2,0,2
7264,1128,0,2,0,2,0,2
7424,1108,0,2,0,2,0,2
7584,1135,0,2,0,2,0,2
7744,1161,0,2,0,2,0,2
7904,1089,0,2,0,2,0,2
8064,1108,0,2,0,2,0,2
9664,1174,0,2,0,2,0,2
11264,1191,0,2,0,2,0,2
12864,1171,0,2,0,2,0,2
14464,1165,0,2,0,2,0,2
16064,1191,0,2,0,2,0,2
17664,1169,0,2,0,2,1,2
19264,1156,0,2,0,2,0,2
20864,1181,0,2,0,2,0,2
22464,1167,0,2,0,2,0,2
24064,1203,0,2,0,2,0,2
25664,1172,0,2,0,2,0,2
27264,1183,0,2,0,2,0,2
28864,1222,0,2,0,2,0,2
30464,1179,0,2,0,2,0,2
32064,1147,0,2,0,2,0,2
33664,1122,0,2,0,2,0,2
35264,1197,0,2,0,2,0,2
36864,1139,0,2,2,2,0,2
38464,1143,0,2,0,2,0,2
40064,1141,0,2,0,2,0,2
41664,1126,0,2,0,2,0,2
43264,1147,0,2,0,2,0,2
44864,1164,0,2,0,2,0,2
46464,1142,1,2,0,2,0,2
48064,1130,0,2,0,2,0,2
49664,1148,0,2,0,2,0,2
51264,1141,0,2,0,2,0,2
