N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,0,1,10,0,6,0,6
16,0,0,6,0,6,0,6
32,0,1,6,0,7,0,6
64,0,0,6,0,6,0,6
128,0,1,6,0,6,0,6
256,0,0,6,1,6,0,6
512,0,0,6,0,6,0,6
1024,0,0,6,1,6,1,6
1184,0,0,6,0,6,0,6
1344,0,0,6,0,6,0,6
1504,0,0,6,0,6,0,6
1664,0,0,6,0,6,0,6
1824,0,0,6,0,6,0,6
1984,0,1,6,0,6,1,6
2144,0,0,6,1,6,1,6
2304,0,0,6,0,6,0,6
2464,0,0,6,0,6,0,6
2624,0,1,6,0,6,0,6
2784,0,0,6,1,6,1,6
2944,0,0,6,0,6,0,6
3104,0,0,6,0,6,0,6
3264,0,0,6,0,6,0,6
3424,0,0,6,0,6,0,6
3584,0,0,6,0,6,0,6
3744,0,1,6,0,6,0,6
3904,0,0,6,0,6,0,6
4064,0,1,6,0,6,0,6
4224,0,0,6,1,6,1,6
4384,0,0,6,0,6,0,6
4544,0,0,6,1,6,1,6
4704,0,0,6,0,6,0,6
4864,0,0,6,0,6,0,6
5024,0,0,6,0,6,0,6
5184,0,1,6,0,6,0,6
5344,0,0,6,1,6,1,6
5504,0,0,6,0,6,0,6
5664,0,0,6,0,6,0,6
5824,0,0,6,0,6,0,6
5984,0,0,6,0,6,0,6
6144,0,0,6,0,6,0,6
6304,0,1,6,0,6,0,6
6464,0,0,6,1,6,1,6
6624,0,1,6,0,6,1,6
6784,0,0,6,1,6,1,6
6944,0,0,6,0,6,0,6
7104,0,0,6,0,6,0,6
7264,0,0,6,0,6,0,6
7424,0,0,6,0,6,0,6
7584,0,0,6,0,6,0,6
7744,0,1,6,0,6,0,6
7904,0,0,6,1,6,1,6
8064,0,1,6,0,6,1,6
9664,0,0,6,1,6,0,6
11264,0,0,6,0,6,0,6
12864,0,0,6,0,6,0,6
14464,0,0,6,0,6,0,6
16064,0,0,6,0,6,0,6
17664,0,0,6,0,6,0,6
19264,0,1,6,0,6,0,6
20864,0,0,6,1,6,0,6
22464,0,1,6,0,6,1,6
24064,0,0,6,1,6,1,6
25664,0,0,6,0,6,0,6
27264,0,0,6,0,6,0,6
28864,0,0,6,0,6,0,6
30464,0,0,6,0,6,0,6
32064,0,1,6,0,6,0,6
33664,0,0,6,0,6,0,6
35264,0,1,6,0,6,0,6
36864,0,1,6,0,6,0,6
38464,0,0,6,1,6,1,6
40064,0,0,6,1,6,1,6
41664,0,0,6,1,6,1,6
43264,0,0,6,0,6,0,6
44864,0,0,6,0,6,0,6
46464,0,1,6,0,6,0,6
48064,0,1,6,0,6,0,6
49664,0,1,6,0,6,0,6
51264,0,1,6,0,6,0,6
52864,0,0,6,1,6,1,6
54464,0,0,6,1,6,1,6
56064,0,0,6,2,6,1,6
57664,0,0,6,0,6,0,6
59264,0,0,6,0,6,0,6
60864,0,0,6,0,6,0,6
62464,0,0,6,1,6,1,6
64064,0,0,6,0,6,0,6
65664,0,0,6,0,6,0,6
67264,0,0,6,0,6,0,6
68864,0,0,6,0,6,0,6
70464,0,0,6,0,6,0,6
72064,0,1,6,0,6,0,6
73664,0,0,6,1,6,1,6
75264,0,1,6,0,6,0,6
76864,0,0,6,1,6,1,6
78464,0,0,6,0,6,0,6
80064,0,0,6,0,6,0,6
96064,0,0,6,0,6,0,6
112064,0,0,6,0,6,0,6
128064,0,0,6,0,6,0,6
144064,0,1,10,0,6,0,6
160064,0,0,6,1,6,1,6
176064,0,1,6,0,6,0,6
192064,0,0,6,1,6,1,6
208064,0,0,6,0,6,0,6
224064,0,0,6,0,6,0,6
240064,0,0,6,0,6,0,6
256064,0,0,6,0,6,0,6
272064,0,1,73,0,6,0,6
288064,0,1,6,0,6,0,6
304064,0,0,6,1,6,1,6
320064,0,1,6,0,6,1,6
336064,0,0,6,1,6,1,6
352064,0,0,6,0,6,0,6
368064,0,0,6,0,6,0,6
384064,0,0,6,0,6,0,6
400064,0,0,6,0,6,0,6
416064,0,1,10,0,6,0,6
432064,0,1,6,0,6,0,6
448064,0,0,6,0,6,0,6
464064,0,1,6,0,6,0,6
480064,0,0,6,1,6,1,6
496064,0,0,6,0,6,0,6
512064,0,0,6,1,6,1,6
528064,0,0,6,0,6,0,6
544064,0,1,6,0,6,0,6
560064,0,1,10,0,6,0,6
576064,0,0,6,0,6,0,6
592064,0,0,6,0,6,0,6
608064,0,1,6,0,6,0,6
624064,0,0,6,1,6,1,6
640064,0,1,6,0,6,0,6
656064,0,0,6,1,6,1,6
672064,0,0,6,0,6,0,6
688064,0,0,6,0,6,0,6
704064,0,1,10,1,6,1,6
720064,0,0,6,1,6,1,6
736064,0,0,6,1,6,1,6
