N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,949,0,4,1,2,1,2
16,962,1,2,0,2,0,2
32,1018,0,2,0,2,0,2
64,971,0,2,0,2,1,2
128,890,0,2,0,2,0,2
256,892,0,2,0,2,0,2
512,798,0,2,0,2,0,2
1024,1066,0,2,0,2,0,2
1184,1032,0,2,0,2,0,2
1344,1020,0,2,0,2,0,2
1504,1007,0,2,0,2,0,2
1664,975,0,2,0,2,1,2
1824,1002,1,2,0,2,0,2
1984,996,0,2,0,2,1,2
2144,1022,0,2,0,2,0,2
2304,1014,0,2,0,2,0,2
2464,1000,1,2,0,2,0,2
2624,986,0,2,0,2,1,2
2784,1002,0,2,1,2,0,2
2944,1001,0,2,0,2,0,2
3104,964,0,2,0,2,1,2
3264,928,0,2,0,2,0,2
3424,975,0,2,0,2,0,2
3584,963,0,2,1,2,0,2
3744,989,0,2,0,2,0,2
3904,982,0,2,0,2,1,2
4064,984,0,2,0,2,0,2
4224,975,0,2,0,2,0,2
4384,990,0,2,1,2,0,2
4544,981,0,2,0,2,0,2
4704,972,0,2,0,2,0,2
4864,1005,0,2,0,2,0,2
5024,969,0,2,2,2,0,2
5184,983,0,2,0,2,0,2
5344,1035,0,2,0,2,0,2
5504,1012,0,2,1,2,0,2
5664,989,0,2,0,2,0,2
5824,1012,0,2,0,2,0,2
5984,1028,0,2,0,2,0,2
6144,966,0,2,0,2,0,2
6304,971,0,2,0,2,0,2
6464,946,0,2,0,2,1,2
6624,932,0,2,0,2,0,2
6784,972,0,2,0,2,0,2
6944,961,0,2,0,2,0,2
7104,963,0,2,0,2,0,2
7264,931,0,2,0,2,0,2
7424,953,0,2,0,2,1,2
7584,947,0,2,0,2,0,2
7744,951,0,2,0,2,0,2
7904,972,0,2,0,2,0,2
8064,941,0,2,0,2,0,2
9664,1000,0,2,0,2,0,2
11264,1076,0,2,0,2,0,2
12864,1016,0,2,1,2,0,2
14464,1046,0,2,0,2,0,2
16064,1022,0,2,0,2,0,2
17664,976,1,2,0,2,0,2
19264,999,0,2,0,2,0,2
20864,987,0,2,0,2,0,2
22464,981,0,2,0,2,0,2
24064,966,0,2,0,2,0,2
25664,979,0,2,1,2,0,2
27264,975,0,2,0,2,0,2
28864,973,0,2,0,2,0,2
30464,974,0,2,0,2,0,2
32064,983,0,2,1,2,0,2
33664,990,0,2,0,2,0,2
35264,1012,1,2,0,2,0,2
36864,1019,0,2,0,2,0,2
38464,1025,0,2,0,2,0,2
40064,1003,0,2,0,2,0,2
41664,989,0,2,0,2,0,2
43264,1024,0,2,0,2,0,2
44864,1006,1,2,0,2,0,2
46464,1007,0,2,0,2,0,2
48064,991,0,2,0,2,0,2
49664,1001,0,2,0,2,0,2
51264,990,0,2,0,2,0,2
52864,1002,0,2,0,2,0,2
54464,1005,0,2,0,2,0,2
56064,979,0,2,0,2,0,2
57664,1011,0,2,0,2,0,2
59264,1014,0,2,0,2,0,2
60864,977,0,2,0,2,0,2
62464,980,0,2,0,2,0,2
64064,1020,0,2,0,2,1,2
65664,969,0,2,0,2,0,2
67264,954,0,2,0,2,0,2
68864,958,0,2,0,2,0,2
70464,948,0,2,0,2,0,2
72064,978,1,2,0,2,0,2
73664,999,0,2,0,2,0,2
75264,967,0,2,1,2,0,2
76864,955,0,2,0,2,0,2
78464,976,0,2,0,2,0,2
80064,969,0,2,0,2,0,2
