N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,1024236,0,4,0,2,0,2
16,1015626,0,2,0,2,0,2
32,1016021,0,2,0,2,1,2
64,1021098,0,2,0,2,1,2
128,1045485,0,2,1,2,0,2
256,1015689,0,2,0,2,0,2
512,1013719,1,2,1,2,0,2
1024,1008194,1,2,1,2,0,2
1184,1031895,0,2,0,2,1,2
1344,1017024,0,2,0,2,1,2
1504,1016578,0,2,0,2,0,2
1664,1011903,0,2,1,2,0,2
1824,1013974,1,2,1,2,1,2
1984,1014067,0,2,0,2,1,2
2144,1011218,0,2,0,2,0,2
3104,1010945,0,2,0,2,0,2
4224,1014286,1,2,0,2,0,2
5664,1026048,0,2,0,2,0,2
7104,1012465,0,2,0,2,0,2
9664,1029499,0,2,0,2,1,2
16064,1013424,1,2,1,2,0,2
22464,981280,0,2,0,2,0,2
30464,996945,0,2,0,2,0,2
32064,982380,0,2,0,2,0,2
33664,992324,0,2,0,2,0,2
44864,989050,0,2,0,2,0,2
59264,1046081,0,2,0,2,0,2
70464,1035420,1,2,0,2,0,2
112064,1050652,1,2,0,2,0,2
144064,1058434,1,6,0,2,0,2
176064,1060923,0,2,0,2,0,2
208064,1062419,0,2,0,2,0,2
240064,1070578,0,2,0,2,0,2
256064,1074862,0,2,0,2,0,2
272064,1076874,0,2,0,2,0,2
288064,1077976,0,6,0,2,0,2
384064,1099401,0,2,0,2,0,2
448064,1115901,0,2,0,2,0,2
512064,1141971,0,2,0,2,0,2
704064,1193553,0,2,0,2,0,2
1120064,1209908,0,41,0,2,0,2
1600064,1310227,0,41,0,2,0,2
2080064,1396438,0,41,0,2,0,2
2720064,1527671,0,41,0,2,0,2
3520064,1681596,1,41,1,2,0,2
3840064,1745350,0,41,0,2,0,2
4000064,1835040,1,41,1,2,1,2
4160064,1800226,0,41,0,2,0,2
4320064,0,1,41,1,2,1,2
4480064,1909312,0,41,0,2,0,2
4640064,0,1,41,1,2,1,2
5280064,0,0,41,1,2,1,2
7040064,2444679,0,41,0,2,4,2
8000064,2629718,0,41,0,2,0,2
11200064,3269550,0,393,1,2,1,2
16000064,4253589,0,393,1,2,1,2
22400064,5709837,1,392,1,2,1,2
28800064,7485540,2,393,1,2,1,2
30400064,7960491,1,393,1,2,3,2
32000064,0,2,392,1,2,1,2
40000064,0,3,570,3,570,2,570
51200064,0,3,750,3,750,3,750
60800064,0,4,538,4,538,4,538
73600064,0,5,597,5,597,5,597
80000064,0,14,627,6,627,5,627
128000064,0,9,593,9,593,9,593
