N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,591849,0,6,0,2,0,2
16,583742,0,2,2,2,0,2
32,578280,0,2,0,2,0,2
64,580951,0,2,0,2,0,2
128,581254,0,2,0,2,0,2
256,581294,0,2,0,2,0,2
512,581624,0,2,0,2,0,2
1024,579313,1,2,0,2,0,2
1184,581814,0,2,0,2,0,2
1344,581196,0,2,0,2,0,2
1504,581347,0,2,0,2,0,2
1664,581280,0,2,0,2,0,2
1824,581274,0,2,0,2,0,2
1984,581261,0,2,0,2,0,2
2144,584662,0,2,1,2,1,2
2304,581302,0,2,0,2,0,2
2464,582669,0,2,0,2,1,2
2624,581809,0,2,0,2,0,2
2784,581591,0,2,0,2,0,2
2944,581493,0,2,0,2,0,2
3104,581827,0,2,0,2,0,2
3264,581448,0,2,0,2,0,2
3424,582937,0,2,0,2,0,2
3584,584403,0,2,1,2,1,2
3744,581827,0,2,0,2,0,2
3904,583229,0,2,1,2,1,2
4064,581707,0,2,0,2,0,2
4224,581856,0,2,0,2,0,2
4384,582312,0,2,0,2,0,2
4544,581994,0,2,0,2,0,2
4704,581714,0,2,0,2,0,2
4864,582154,0,2,0,2,0,2
5024,584214,0,2,1,2,1,2
5184,581948,0,2,0,2,0,2
5344,583697,0,2,1,2,1,2
5504,582496,0,2,0,2,0,2
5664,581984,0,2,0,2,0,2
5824,582123,0,2,0,2,0,2
5984,582183,0,2,0,2,0,2
6144,582354,0,2,0,2,0,2
6304,582126,0,2,0,2,0,2
6464,584152,0,2,1,2,1,2
6624,582257,0,2,0,2,0,2
6784,582006,0,2,0,2,0,2
6944,582874,0,2,0,2,0,2
7104,582451,0,2,0,2,0,2
7264,581931,0,2,0,2,0,2
7424,581924,0,2,0,2,0,2
7584,582217,0,2,0,2,0,2
7744,583011,0,2,0,2,0,2
7904,583668,0,2,1,2,1,2
8064,582811,0,2,0,2,0,2
9664,583465,0,2,1,2,1,2
11264,583128,0,2,0,2,0,2
12864,583471,0,2,0,2,0,2
14464,583704,0,2,0,2,0,2
16064,583962,0,2,0,2,0,2
17664,584288,0,2,0,2,0,2
19264,584475,0,2,0,2,0,2
20864,585729,0,2,1,2,1,2
22464,585060,0,2,0,2,0,2
24064,585622,0,2,0,2,0,2
25664,585494,0,2,0,2,0,2
27264,583736,1,2,0,2,0,2
28864,586132,0,2,0,2,0,2
30464,585471,1,2,0,2,0,2
32064,586887,0,2,0,2,0,2
33664,588669,0,2,0,2,0,2
35264,586656,0,2,0,2,0,2
36864,587309,0,2,0,2,0,2
38464,587608,0,2,0,2,0,2
40064,587824,0,2,0,2,0,2
41664,588051,0,2,0,2,0,2
43264,587841,0,2,0,2,0,2
44864,587278,1,2,0,2,0,2
46464,589387,0,2,0,2,0,2
48064,592048,0,2,0,2,1,2
49664,590013,0,2,0,2,0,2
51264,589627,0,2,0,2,0,2
52864,590033,0,2,0,2,0,2
54464,589828,0,2,0,2,0,2
56064,590211,0,2,0,2,0,2
57664,591170,0,2,0,2,0,2
59264,589966,1,2,0,2,0,2
60864,591308,0,2,0,2,0,2
62464,590220,1,2,0,2,1,2
64064,591264,0,2,0,2,0,2
65664,591970,0,2,0,2,0,2
67264,593165,0,2,0,2,0,2
68864,592864,0,2,0,2,0,2
70464,592831,0,2,0,2,0,2
72064,592542,0,2,0,2,0,2
73664,591834,1,2,0,2,0,2
75264,594156,0,2,0,2,0,2
76864,594480,0,2,0,2,0,2
78464,593760,0,2,0,2,0,2
80064,594523,0,2,0,2,0,2
96064,596362,0,2,0,2,0,2
112064,599328,0,2,0,2,0,2
128064,602027,0,2,0,2,0,2
144064,603434,0,6,0,2,0,2
160064,612726,0,2,1,2,1,2
176064,610426,0,2,0,2,0,2
192064,614556,0,2,0,2,1,2
208064,617255,0,2,0,2,0,2
224064,618312,0,2,0,2,0,2
240064,620824,0,2,0,2,0,2
256064,623362,0,2,0,2,0,2
272064,625996,0,2,0,2,0,2
288064,628208,1,6,0,2,0,2
304064,636343,0,2,1,2,1,2
320064,633062,0,2,0,2,0,2
336064,636053,0,2,0,2,0,2
352064,638845,0,2,0,2,0,2
368064,640922,1,2,0,2,0,2
384064,644297,0,2,0,2,0,2
400064,645277,1,2,0,2,0,2
416064,649743,0,2,1,2,0,2
432064,653581,0,6,0,2,0,2
448064,654963,0,2,0,2,0,2
464064,657981,0,2,0,2,0,2
480064,660099,0,2,0,2,0,2
496064,663766,0,2,0,2,0,2
512064,666424,0,2,0,2,0,2
528064,667906,0,2,0,2,0,2
544064,669744,1,2,0,2,0,2
560064,674450,0,2,1,2,0,2
576064,682560,0,6,0,2,0,2
592064,679317,0,2,0,2,0,2
608064,681983,0,2,0,2,0,2
624064,686220,0,2,0,2,0,2
640064,687868,0,2,0,2,0,2
656064,689833,0,2,0,2,0,2
672064,692112,0,2,0,2,0,2
688064,693465,1,2,0,2,0,2
704064,698085,0,2,0,2,0,2
