N,Time,1.INT,1.PFMIN,2.INT,2.PFMIN,3.INT,3.PFMIN
8,1033585,1,4,1,2,0,2
16,1024935,0,2,0,2,0,2
32,1028068,0,2,0,2,0,2
64,1017646,0,2,0,2,0,2
128,1016893,0,2,0,2,0,2
256,1027702,0,2,0,2,0,2
512,1021469,1,2,1,2,1,2
1024,1046979,0,2,0,2,0,2
1184,1014523,0,2,0,2,0,2
1344,1019736,0,2,0,2,0,2
1504,1029928,0,2,0,2,0,2
1664,1017489,0,2,0,2,0,2
1824,1016941,0,2,0,2,0,2
1984,1011501,0,2,0,2,0,2
2144,1018587,0,2,0,2,0,2
3104,1023846,1,2,0,2,0,2
4224,1020519,0,2,0,2,1,2
5664,1015681,0,2,0,2,0,2
7104,1002836,0,2,1,2,0,2
9664,997130,0,2,0,2,0,2
16064,987756,1,2,1,2,0,2
22464,998185,0,2,0,2,0,2
30464,1008067,0,2,0,2,0,2
32064,994119,0,2,0,2,0,2
33664,1011278,0,2,0,2,0,2
44864,998741,0,2,0,2,0,2
59264,1002104,1,2,1,2,1,2
70464,1003083,1,2,1,2,0,2
112064,1011880,0,2,0,2,0,2
144064,1019511,0,6,1,2,1,2
176064,1031402,0,2,0,2,0,2
208064,1040423,0,2,0,2,1,2
240064,1044310,0,2,1,2,1,2
256064,1049085,1,2,0,2,0,2
272064,1047228,0,2,0,2,0,2
288064,1051784,1,6,0,2,0,2
384064,1074301,0,2,0,2,0,2
448064,1083616,1,2,1,2,1,2
512064,1095422,0,2,0,2,0,2
704064,1139195,0,2,0,2,1,2
1120064,1214249,0,41,0,2,0,2
1600064,1309771,1,41,1,2,0,2
2080064,1413401,0,41,0,2,0,2
2720064,1529312,0,41,0,2,1,2
3520064,1689327,1,41,1,2,0,2
3840064,1742541,1,41,1,2,1,2
4000064,1783642,0,41,0,2,0,2
4160064,1821951,0,41,0,2,0,2
4320064,1847436,0,41,0,2,0,2
4480064,1874116,0,41,0,2,0,2
4640064,1912223,0,41,0,2,0,2
5280064,2022706,0,41,0,2,0,2
7040064,2367791,1,41,1,2,0,2
8000064,2570702,0,41,0,2,0,2
11200064,3206663,1,393,1,2,0,2
16000064,4153147,1,393,0,2,1,2
22400064,5603800,1,392,1,2,0,2
28800064,7449654,1,393,1,2,1,2
30400064,8108070,1,393,0,2,1,2
32000064,0,1,392,1,2,1,2
40000064,0,2,570,4,570,2,570
51200064,0,3,750,3,750,3,750
60800064,0,4,538,4,538,4,538
73600064,0,5,597,13,597,5,597
80000064,0,5,627,5,627,5,627
128000064,0,9,593,9,593,9,593
